City,Day,Month,Year,Temp_max,Temp_min,Temp_avg
Barcelona,1,6,2022,31.07,19.60,26.03
Barcelona,2,6,2022,32.05,19.17,26.61
Barcelona,3,6,2022,33.40,18.83,26.72
Barcelona,4,6,2022,33.54,18.84,26.93
Barcelona,5,6,2022,33.47,18.99,27.02
Barcelona,6,6,2022,33.21,19.13,27.06
Barcelona,7,6,2022,32.90,19.02,26.52
Barcelona,8,6,2022,32.83,19.05,26.11
Barcelona,9,6,2022,32.38,18.74,26.14
Barcelona,10,6,2022,32.39,18.70,26.15
